,Rk,Player,Class,Season,Pos,School,Conf,G,MP,MP.1,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1084,1083,Kendrick Nunn\kendrick-nunn-1,SR,2017-18,G,Oakland,Horizon,30,1136,37.9,8.7,20.1,4.3,8.7,4.5,11.3,4,4.7,0.9,3.8,4.7,3.8,1.5,0.4,2.9,2.2,25.9
1144,1143,Vasa Pusica\vasa-pusica-1,JR,2017-18,G,Northeastern,CAA,33,1132,34.3,5.7,11.4,3.4,6,2.3,5.4,4.2,5.2,0.3,3.4,3.6,5.1,1.1,0.1,3.4,2.2,17.9
1,2,Devonte' Graham\devonte-graham-1,,2017-18,G,Kansas,Big 12,39,1474,37.8,5.1,12.8,2.3,5.8,2.8,6.9,4.3,5.2,0.6,3.4,4,7.2,1.6,0.1,2.8,1.4,17.3
527,526,Kamar Baldwin\kamar-baldwin-1,SO,2017-18,G,Butler,Big East,35,1191,34,6,13.6,4.6,9.3,1.4,4.2,2.3,2.9,0.4,4.5,4.9,3.2,1.5,0.4,2.1,2.5,15.7
480,479,Caleb Martin\caleb-martin-1,JR,2017-18,F,Nevada,MWC,36,1199,33.3,6.2,13.6,3.4,6.8,2.8,6.9,3.7,5,0.9,4.4,5.4,2.6,1.3,0.6,1.7,2.6,18.9
1079,1078,Ryan Kemrite\ryan-kemrite-1,SR,2017-18,G,Liberty,Big South,35,1136,32.5,3.3,7.4,0.9,2.1,2.4,5.3,1.2,1.3,0.5,2.2,2.7,0.9,0.6,0.1,0.7,1.8,10.2
399,398,David DiLeo\david-dileo-1,SO,2017-18,F,Central Michigan,MAC,36,1210,33.6,3.9,10,1.2,2.3,2.7,7.6,1.9,2.4,1.9,4.8,6.6,1.4,0.9,0.3,0.8,1.8,12.4
2060,2059,Johnathan Williams\johnathan-williams-2,SR,2017-18,F,Gonzaga,WCC,37,1079,29.2,5.3,9.5,5.1,8.5,0.2,0.9,2.5,4.7,2.4,6.1,8.5,1.6,0.7,1.1,2.2,2.6,13.4
2113,2112,Divine Myles\divine-myles-1,SR,2017-18,G,Stetson,A-Sun,31,1076,34.7,6.1,12.3,5,8.8,1.1,3.5,3.4,4.7,0.8,3.7,4.5,4.2,1.6,0.1,1.6,1.7,16.8
1154,1153,Yante Maten\yante-maten-1,SR,2017-18,F,Georgia,SEC,33,1131,34.3,6.3,13.5,5.4,10.9,0.9,2.6,5.8,7.3,3.5,5.1,8.6,1.5,0.5,1.5,2,2.2,19.3
1756,1755,Tyler Rawson\tyler-rawson-1,SR,2017-18,F,Utah,Pac-12,35,1093,31.2,3.6,8,1.8,3.2,1.8,4.8,1.9,2.4,1.1,5.7,6.8,3.7,0.7,0.9,1.9,2,10.9
